Sample	BAM
BA2000_45d7e245-365b-4ee3-bb6a-630445112c07.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2000_45d7e245-365b-4ee3-bb6a-630445112c07.rna_seq.genomic.gdc_realn.bam']
BA2003_1119f254-4482-4508-8dfb-0841d8332628.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2003_1119f254-4482-4508-8dfb-0841d8332628.rna_seq.genomic.gdc_realn.bam']
BA2004_746461fb-9f5a-4283-b6fe-ad1628101d8e.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2004_746461fb-9f5a-4283-b6fe-ad1628101d8e.rna_seq.genomic.gdc_realn.bam']
BA2006_86f4a3f7-b96e-43bd-aee5-0e3c8281dcfa.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2006_86f4a3f7-b96e-43bd-aee5-0e3c8281dcfa.rna_seq.genomic.gdc_realn.bam']
BA2011_eeb1a25c-5973-41d6-9f08-c2a47df22ccc.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2011_eeb1a25c-5973-41d6-9f08-c2a47df22ccc.rna_seq.genomic.gdc_realn.bam']
BA2019_48cdcdb9-b00c-4632-9907-78db87a3594c.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2019_48cdcdb9-b00c-4632-9907-78db87a3594c.rna_seq.genomic.gdc_realn.bam']
BA2020_dc621b4c-5e84-46f7-a83e-683e10e38dd1.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2020_dc621b4c-5e84-46f7-a83e-683e10e38dd1.rna_seq.genomic.gdc_realn.bam']
BA2022_04b0259b-dbc7-4960-bf83-899b57230d38.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2022_04b0259b-dbc7-4960-bf83-899b57230d38.rna_seq.genomic.gdc_realn.bam']
BA2023_e72c9c17-ddfd-4ee2-b5f9-67289cbd3470.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2023_e72c9c17-ddfd-4ee2-b5f9-67289cbd3470.rna_seq.genomic.gdc_realn.bam']
BA2024_1ddbb86b-a89e-4673-b951-d33ddbabe336.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2024_1ddbb86b-a89e-4673-b951-d33ddbabe336.rna_seq.genomic.gdc_realn.bam']
BA2025_4d379843-6334-473e-b0c0-49872490c6f4.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2025_4d379843-6334-473e-b0c0-49872490c6f4.rna_seq.genomic.gdc_realn.bam']
BA2031_ccbdcd16-2694-4948-a35d-b36d1e9eb8fb.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2031_ccbdcd16-2694-4948-a35d-b36d1e9eb8fb.rna_seq.genomic.gdc_realn.bam']
BA2032_0f7b0e6e-23fa-4228-9216-7e1509f23b3e.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2032_0f7b0e6e-23fa-4228-9216-7e1509f23b3e.rna_seq.genomic.gdc_realn.bam']
BA2033_f6601d73-a285-4dbc-a304-f7795a195e49.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2033_f6601d73-a285-4dbc-a304-f7795a195e49.rna_seq.genomic.gdc_realn.bam']
BA2034_49b97aba-cb3e-4c1f-a42b-3fc42cc6c348.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2034_49b97aba-cb3e-4c1f-a42b-3fc42cc6c348.rna_seq.genomic.gdc_realn.bam']
BA2035_cc4dec2e-3c85-4852-919f-84301305f3f3.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2035_cc4dec2e-3c85-4852-919f-84301305f3f3.rna_seq.genomic.gdc_realn.bam']
BA2036_7629a3ec-92b9-4647-9495-62203267598a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2036_7629a3ec-92b9-4647-9495-62203267598a.rna_seq.genomic.gdc_realn.bam']
BA2037_74c415e6-aa76-4c74-9b2b-921d2ac1f8bb.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2037_74c415e6-aa76-4c74-9b2b-921d2ac1f8bb.rna_seq.genomic.gdc_realn.bam']
BA2038_f11cb1b5-03b0-45f7-b4f9-155d7b103ba1.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2038_f11cb1b5-03b0-45f7-b4f9-155d7b103ba1.rna_seq.genomic.gdc_realn.bam']
BA2041_d286a7c3-e746-4bca-9ef9-070747f75d09.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2041_d286a7c3-e746-4bca-9ef9-070747f75d09.rna_seq.genomic.gdc_realn.bam']
BA2044_c6ac848e-b9fc-4f91-b092-628da745d6f3.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2044_c6ac848e-b9fc-4f91-b092-628da745d6f3.rna_seq.genomic.gdc_realn.bam']
BA2046_51e74de1-15dd-41cd-9329-0ee76eefc2a4.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2046_51e74de1-15dd-41cd-9329-0ee76eefc2a4.rna_seq.genomic.gdc_realn.bam']
BA2047_057b2582-745b-4690-86e2-ae79ac0c5a40.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2047_057b2582-745b-4690-86e2-ae79ac0c5a40.rna_seq.genomic.gdc_realn.bam']
BA2050_a5694620-3049-4bf6-b7a6-ec2b4c5811d9.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2050_a5694620-3049-4bf6-b7a6-ec2b4c5811d9.rna_seq.genomic.gdc_realn.bam']
BA2051_b671d54e-61dc-4470-aa11-ca05d4455172.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2051_b671d54e-61dc-4470-aa11-ca05d4455172.rna_seq.genomic.gdc_realn.bam']
BA2052_f134dbb9-ee9f-4078-933b-06cca42e79a8.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2052_f134dbb9-ee9f-4078-933b-06cca42e79a8.rna_seq.genomic.gdc_realn.bam']
BA2053_7b476d0d-98ea-4792-b50b-c0546c414cc3.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2053_7b476d0d-98ea-4792-b50b-c0546c414cc3.rna_seq.genomic.gdc_realn.bam']
BA2054_defc210e-1237-4876-a576-4cb559674556.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2054_defc210e-1237-4876-a576-4cb559674556.rna_seq.genomic.gdc_realn.bam']
BA2055_f085d01a-9212-4133-b06a-26e3cf4b745b.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2055_f085d01a-9212-4133-b06a-26e3cf4b745b.rna_seq.genomic.gdc_realn.bam']
BA2057_9d395cf5-3083-4552-81b2-d1583af10523.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2057_9d395cf5-3083-4552-81b2-d1583af10523.rna_seq.genomic.gdc_realn.bam']
BA2063_eae314af-3356-4364-ab29-05dfaf38d2ec.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2063_eae314af-3356-4364-ab29-05dfaf38d2ec.rna_seq.genomic.gdc_realn.bam']
BA2065_ea711077-be7f-4105-b8c8-414a1b109337.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2065_ea711077-be7f-4105-b8c8-414a1b109337.rna_seq.genomic.gdc_realn.bam']
BA2066_78e9a2eb-dee8-45d5-9ac6-da8a93a13617.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2066_78e9a2eb-dee8-45d5-9ac6-da8a93a13617.rna_seq.genomic.gdc_realn.bam']
BA2068_0da231bb-ab76-4e79-8e18-24fa707b4326.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2068_0da231bb-ab76-4e79-8e18-24fa707b4326.rna_seq.genomic.gdc_realn.bam']
BA2069_330ca135-bc52-4691-9092-07ada8339570.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2069_330ca135-bc52-4691-9092-07ada8339570.rna_seq.genomic.gdc_realn.bam']
BA2072_6c8e74a0-9418-45d2-a9f7-62c08b7263f8.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2072_6c8e74a0-9418-45d2-a9f7-62c08b7263f8.rna_seq.genomic.gdc_realn.bam']
BA2079_bab0d6d8-2824-425e-89a2-819321bf1ab2.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2079_bab0d6d8-2824-425e-89a2-819321bf1ab2.rna_seq.genomic.gdc_realn.bam']
BA2080_bb2ae6f9-38fe-44f9-ba0e-84cc0b8e09e0.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2080_bb2ae6f9-38fe-44f9-ba0e-84cc0b8e09e0.rna_seq.genomic.gdc_realn.bam']
BA2081_9f6e5197-dd65-423c-9683-717005a12cd9.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2081_9f6e5197-dd65-423c-9683-717005a12cd9.rna_seq.genomic.gdc_realn.bam']
BA2082_2df7c1bf-fe93-45e0-abb4-98285e3d31d1.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2082_2df7c1bf-fe93-45e0-abb4-98285e3d31d1.rna_seq.genomic.gdc_realn.bam']
BA2087_d9d68b11-3694-4f45-ae55-38c5d235aa99.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2087_d9d68b11-3694-4f45-ae55-38c5d235aa99.rna_seq.genomic.gdc_realn.bam']
BA2088_fa4c7da0-ada9-47bf-9781-dbd020462476.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2088_fa4c7da0-ada9-47bf-9781-dbd020462476.rna_seq.genomic.gdc_realn.bam']
BA2089_105ce8ec-a0c7-401b-b650-56e5d79a832d.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2089_105ce8ec-a0c7-401b-b650-56e5d79a832d.rna_seq.genomic.gdc_realn.bam']
BA2093_e8382f93-73b5-4842-b750-af64a40a8a36.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2093_e8382f93-73b5-4842-b750-af64a40a8a36.rna_seq.genomic.gdc_realn.bam']
BA2094_688aa3f8-1994-466a-854c-755c0cca179a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2094_688aa3f8-1994-466a-854c-755c0cca179a.rna_seq.genomic.gdc_realn.bam']
BA2095_0914b292-3921-4d19-a7a3-fb4451fafcd8.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2095_0914b292-3921-4d19-a7a3-fb4451fafcd8.rna_seq.genomic.gdc_realn.bam']
BA2096_86d3d5b4-d7c6-4c93-87bc-9143235c8d10.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2096_86d3d5b4-d7c6-4c93-87bc-9143235c8d10.rna_seq.genomic.gdc_realn.bam']
BA2097_d491f645-3eb8-4f56-9f26-8fb5f13aa06a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2097_d491f645-3eb8-4f56-9f26-8fb5f13aa06a.rna_seq.genomic.gdc_realn.bam']
