Sample	BAM
TARGET-20-CB34pos-Dayminus1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-CB34pos-Dayminus1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D42-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D42-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-CBFA2T3_GLIS2pool-CD56neg-sort-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-CBFA2T3_GLIS2pool-CD56neg-sort-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-CBFA2T3_GLIS2pool-CD56pos-sort-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-CBFA2T3_GLIS2pool-CD56pos-sort-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D45-EC-mock-pool-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D45-EC-mock-pool-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-mock1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-mock1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-mock2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-mock2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D49-Myeloid-mock3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D49-Myeloid-mock3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D63-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D63-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-mock1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-mock1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-mock2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-mock2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-EC-mock3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-EC-mock3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
